,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_255,9,10,9,3,11,9,3,12,8,16,9,7,6,12,8,10,14,10,10,11,12,14,7,12,5,10,19,7,12,8,8,9,6,14,7,8,9,6,9,12,11,7,6,11,15,14,12,10,11,9
Gene_256,4,10,10,13,10,7,12,7,4,10,8,11,11,7,8,9,12,12,11,15,8,17,12,3,15,22,9,10,16,13,16,7,12,18,14,7,7,10,12,5,15,6,7,9,8,14,10,9,15,7
Gene_257,4,3,7,11,10,6,11,11,13,12,6,8,10,16,9,15,14,9,10,14,6,8,7,14,5,10,10,9,10,12,8,16,10,11,13,14,6,8,7,10,11,11,9,5,11,10,14,12,11,16
Gene_258,9,9,14,9,8,12,13,10,8,8,13,10,9,13,7,17,12,10,8,11,9,6,12,14,12,7,7,17,9,5,11,6,10,15,8,10,10,5,12,10,8,8,11,11,5,10,10,7,8,7
Gene_259,8,9,12,12,9,9,5,10,11,10,10,17,8,7,15,11,12,12,15,11,8,14,12,9,10,13,9,8,11,16,9,5,11,5,12,11,10,7,12,10,11,9,10,7,12,11,16,12,8,11
Gene_260,9,10,12,13,11,8,10,10,8,10,10,18,9,3,5,10,10,7,8,8,7,9,12,12,6,3,13,13,12,12,11,9,11,7,10,13,14,22,18,19,12,11,11,8,15,12,7,5,7,12
Gene_261,10,11,6,10,17,13,7,11,16,10,13,13,7,17,11,5,13,15,10,15,9,6,9,12,6,14,3,6,14,6,12,3,8,2,9,6,10,11,8,4,12,11,4,6,8,8,15,7,9,13
Gene_262,19,12,11,7,10,15,10,6,14,13,5,7,12,12,8,11,7,12,13,7,5,4,11,5,5,11,6,12,13,11,11,7,7,9,8,15,12,7,11,11,10,8,16,7,9,16,12,10,5,13
Gene_263,7,12,8,5,9,7,13,13,13,9,5,10,15,11,9,10,15,10,10,14,6,8,7,11,10,9,11,11,6,11,13,12,4,12,12,16,10,15,8,16,7,13,8,10,8,9,12,6,12,5
Gene_264,9,8,6,13,12,3,3,11,7,12,9,8,9,5,9,14,14,8,10,17,10,14,14,9,6,17,10,6,17,10,9,11,5,5,13,8,9,11,8,13,10,6,24,7,8,15,11,10,6,4
Gene_265,11,12,15,7,9,9,7,6,7,8,11,8,9,14,12,13,14,14,17,7,12,12,10,13,8,16,11,13,8,11,7,12,10,10,12,8,15,9,7,7,7,11,11,6,11,6,5,10,7,12
Gene_266,16,7,5,11,14,11,11,11,15,16,11,18,7,13,5,9,11,11,12,10,3,8,18,8,7,8,12,4,10,14,11,16,10,16,8,12,13,7,11,11,9,8,12,6,7,15,12,16,13,10
Gene_267,10,9,14,13,10,14,11,21,9,7,15,10,11,5,16,15,8,8,7,15,12,11,11,14,7,8,18,11,7,6,6,10,10,9,9,17,9,14,13,10,13,8,10,12,5,10,13,11,7,6
Gene_268,8,9,2,14,9,3,10,7,8,6,8,9,10,13,7,7,9,5,9,8,13,11,7,12,12,8,6,9,5,8,12,11,7,5,9,8,9,12,14,9,11,9,4,11,10,15,15,8,10,7
Gene_269,5,12,10,7,13,15,10,10,9,4,11,8,12,10,8,10,13,18,8,15,9,19,11,9,10,19,10,11,8,10,7,9,7,13,13,10,8,15,9,13,9,6,7,7,7,10,10,8,7,8
Gene_270,12,11,20,6,11,14,8,13,15,10,12,13,11,9,16,9,7,11,12,8,7,9,7,17,14,10,11,14,3,14,9,14,6,7,3,10,9,14,8,10,6,16,12,7,3,13,9,4,14,12
Gene_271,8,6,11,10,14,9,6,11,11,13,8,8,8,9,8,13,5,9,9,8,12,10,6,9,11,8,9,11,14,9,8,11,8,5,12,4,12,10,14,8,5,12,11,9,12,11,17,8,9,7
Gene_272,13,12,9,9,9,4,9,11,7,17,15,16,9,11,12,11,6,10,7,9,9,15,12,13,10,9,8,8,7,10,7,7,10,5,12,8,12,17,12,7,8,11,9,9,3,10,9,11,12,9
Gene_273,7,12,11,6,15,6,7,10,12,13,12,11,6,14,8,6,14,3,12,13,13,7,14,11,11,12,10,9,19,6,11,6,15,8,8,6,10,9,10,12,10,8,11,14,8,7,7,12,12,14
Gene_274,6,8,18,6,14,9,11,9,10,5,7,12,16,21,12,6,13,7,18,10,13,11,11,7,8,11,8,6,7,11,11,8,10,7,8,14,9,9,10,12,13,5,7,11,9,6,14,12,7,3
Gene_275,6,5,8,10,15,11,10,9,17,8,9,15,12,13,6,11,4,16,12,13,6,13,17,11,9,7,6,10,12,8,6,8,15,13,5,10,10,6,8,10,13,9,10,8,8,12,16,8,15,9
Gene_276,7,17,15,15,8,11,11,10,11,11,13,13,14,10,13,13,7,5,7,7,15,4,12,7,11,9,6,15,3,15,11,4,8,10,10,12,8,14,11,8,12,11,12,6,12,4,16,4,10,7
Gene_277,6,10,9,9,12,9,8,6,12,9,10,8,12,8,13,17,15,6,3,12,7,14,2,17,7,10,12,13,9,7,6,11,6,8,5,10,9,10,6,10,7,4,11,13,3,12,10,7,9,6
Gene_278,10,12,8,10,8,8,7,13,2,11,4,10,7,15,5,10,8,14,6,6,6,8,13,7,7,15,6,18,6,8,8,7,14,7,7,13,8,8,12,10,10,6,15,14,9,8,8,5,13,12
Gene_279,7,9,12,9,8,9,6,17,13,9,8,8,7,5,6,13,11,8,15,6,9,10,7,11,9,9,9,9,11,10,10,9,9,14,9,10,5,6,6,6,14,5,10,11,11,8,11,8,12,7
Gene_280,4,8,9,11,5,9,12,12,7,6,9,10,6,8,9,11,11,15,10,8,12,13,11,13,4,17,19,10,11,9,10,14,6,9,8,5,6,18,13,11,10,12,10,8,10,14,7,5,12,8
Gene_281,13,8,13,9,2,16,8,14,7,12,11,4,13,7,8,12,9,5,9,11,12,16,17,9,6,10,6,16,10,11,11,7,5,13,7,17,8,12,8,9,8,13,14,6,17,8,8,16,12,8
Gene_282,10,8,17,11,12,6,9,9,6,13,14,15,7,11,6,8,8,9,10,13,7,11,13,9,11,11,12,7,8,6,9,15,14,12,10,18,12,8,17,8,14,7,19,10,8,8,12,11,6,5
Gene_283,10,19,14,10,10,16,9,4,17,11,12,9,14,4,12,6,6,9,11,8,10,9,7,12,6,6,7,9,16,8,25,4,9,8,7,14,7,9,9,8,13,14,10,4,15,7,8,9,11,14
Gene_284,8,10,5,7,12,6,16,10,7,3,9,11,10,6,13,13,10,8,17,2,14,13,10,20,14,3,9,7,10,5,10,9,11,8,12,11,11,10,11,7,13,13,14,7,10,10,8,11,12,8
Gene_285,7,12,9,15,13,10,14,14,13,6,7,13,7,14,13,11,10,9,10,8,4,8,3,9,9,7,4,5,10,6,9,10,10,14,14,11,7,13,11,9,9,7,14,11,13,14,8,11,6,9
Gene_286,10,9,11,7,14,8,6,14,11,11,9,8,11,10,8,11,8,10,10,9,5,9,10,15,4,7,7,12,9,12,11,10,14,7,9,13,12,8,10,15,10,15,14,8,8,13,18,6,10,8
Gene_287,7,11,9,10,18,8,10,9,12,10,5,10,6,10,5,11,10,12,11,6,12,7,7,6,15,12,15,19,7,9,11,12,8,2,12,12,15,11,5,12,22,12,5,10,4,9,9,3,9,8
Gene_288,7,6,14,15,7,4,12,6,15,11,8,6,12,9,9,8,12,7,13,6,8,16,14,15,11,4,13,13,11,10,10,16,9,9,8,9,14,12,9,13,9,13,6,10,7,11,10,7,5,15
Gene_289,11,9,10,7,10,11,6,16,5,12,11,10,8,14,7,6,13,13,8,11,9,10,8,12,7,7,8,12,9,11,12,4,6,12,12,12,11,9,8,7,9,11,13,14,9,11,11,8,15,11
Gene_290,10,11,8,11,16,12,14,14,6,11,8,9,8,8,17,8,8,11,11,10,5,13,10,6,8,12,9,13,9,13,5,11,7,13,8,8,11,15,9,8,14,10,13,14,10,12,12,7,11,13
Gene_291,9,5,6,9,12,10,17,9,11,7,6,5,5,10,12,16,9,7,8,10,9,9,13,9,12,9,12,14,10,9,7,11,10,10,6,10,9,12,9,14,8,9,13,9,6,11,18,14,14,10
Gene_292,10,11,7,8,9,10,10,10,9,14,9,15,16,12,10,9,6,9,8,5,14,12,9,14,10,4,12,10,9,10,8,10,8,8,10,10,11,7,9,7,18,13,7,7,18,15,10,10,11,8
Gene_293,8,15,8,12,13,4,15,13,10,9,11,10,13,9,10,15,13,7,8,7,12,12,9,10,11,15,17,14,10,10,13,13,14,9,9,4,11,14,10,15,11,3,14,7,18,12,5,10,17,10
Gene_294,7,4,14,5,11,5,7,9,8,12,3,10,8,10,9,16,12,6,6,10,17,9,10,9,15,11,11,8,10,8,5,12,10,7,10,10,6,10,12,13,9,10,13,8,10,9,7,11,8,8
Gene_295,14,8,12,1,15,9,14,9,11,13,13,11,12,10,5,9,12,7,9,13,10,4,2,10,8,9,7,7,14,6,4,18,15,8,8,10,7,2,9,10,14,16,13,7,4,7,12,12,12,14
Gene_296,5,9,8,10,5,12,8,13,3,12,9,10,17,14,11,6,7,10,11,9,11,16,10,9,6,7,8,8,11,10,10,14,13,7,5,20,9,13,10,12,4,11,9,16,12,8,6,13,10,10
Gene_297,9,12,9,10,10,11,17,10,6,7,8,10,4,5,4,10,9,9,12,10,9,8,8,14,11,14,13,14,14,15,4,5,7,12,7,8,11,12,6,8,8,7,18,13,11,9,11,12,8,13
Gene_298,6,10,12,11,7,16,8,13,4,11,7,9,9,13,10,11,10,8,12,10,11,12,11,12,10,8,10,15,9,13,7,5,15,12,9,8,12,7,16,9,8,9,8,8,10,11,12,12,7,7
Gene_299,13,8,7,5,7,9,8,5,12,10,11,5,7,7,13,5,12,9,14,6,10,12,11,10,9,15,10,10,11,16,9,10,8,11,15,9,7,14,17,11,9,11,12,9,7,5,15,8,10,11
Gene_300,6,13,5,13,11,8,11,15,10,8,15,10,11,7,10,6,18,6,15,9,11,6,20,13,8,12,9,10,10,8,6,12,5,8,10,9,10,8,15,11,7,5,7,8,10,10,8,11,8,11
Gene_301,14,11,11,8,15,5,8,13,11,13,4,10,6,18,9,5,11,14,11,11,10,9,14,9,11,9,8,6,13,8,12,8,11,13,12,15,15,3,12,13,13,15,4,8,7,12,8,6,2,11
Gene_302,9,7,15,14,11,6,5,17,9,15,2,12,11,10,10,7,16,6,11,11,10,14,11,7,12,9,17,6,12,11,13,6,6,9,8,9,4,7,10,3,9,8,15,12,5,9,15,7,10,14
Gene_303,12,7,14,9,6,6,7,14,4,10,15,13,12,7,11,20,12,8,9,13,13,7,13,7,14,17,6,8,4,8,9,10,15,7,12,8,17,13,7,6,11,5,13,13,13,16,12,15,12,14
Gene_304,10,9,9,11,12,12,17,8,9,9,13,6,7,7,11,9,10,7,10,9,11,10,8,15,6,9,10,10,6,10,17,12,10,16,12,6,10,10,9,7,8,9,10,12,6,11,7,9,9,10
Gene_305,9,11,10,12,11,8,11,11,7,9,5,7,6,5,5,8,17,11,9,13,11,7,15,17,11,14,5,14,9,8,9,6,10,12,9,9,11,11,10,11,11,13,10,9,10,14,10,12,7,11
Gene_306,9,17,11,13,8,7,8,5,15,10,11,12,23,8,4,6,11,8,11,14,8,8,5,10,10,10,9,14,7,12,8,6,3,8,14,7,9,11,14,13,13,17,9,10,7,8,7,14,8,10
Gene_307,11,13,11,5,12,15,14,9,12,6,9,6,13,7,16,12,16,13,7,9,8,7,13,7,2,19,11,6,15,18,9,11,11,13,14,7,18,10,3,8,8,7,12,9,14,8,12,6,13,9
Gene_308,9,9,8,14,11,6,12,18,7,12,5,9,10,8,11,10,8,12,5,10,8,8,7,9,5,11,14,12,10,10,9,14,12,16,7,9,10,13,8,13,8,14,7,9,11,7,10,15,12,8
Gene_309,14,13,6,8,3,7,12,9,6,9,15,5,6,11,12,11,6,9,10,5,7,9,15,13,13,8,11,10,6,6,4,9,9,8,14,8,14,5,9,5,8,13,5,14,12,8,15,7,15,11
Gene_310,18,11,14,16,18,11,7,9,12,9,10,10,13,9,8,12,10,12,4,11,14,16,9,6,10,7,6,11,8,13,10,10,12,12,7,8,12,10,7,17,8,12,7,16,11,7,9,11,10,6
Gene_311,12,7,12,10,10,12,3,15,7,9,12,12,8,6,13,8,8,16,6,12,8,8,9,4,9,6,7,13,10,3,6,11,7,7,7,14,9,7,18,10,12,15,10,8,4,11,8,9,9,10
Gene_312,7,13,12,13,10,15,11,10,8,11,10,16,8,10,14,11,9,13,9,11,9,10,11,7,10,10,11,9,11,12,10,8,5,7,7,9,8,6,8,9,14,14,9,11,12,10,10,9,6,7
Gene_313,9,17,5,13,9,7,13,9,13,15,14,5,13,13,5,8,12,10,18,13,7,8,13,10,4,5,14,11,9,11,20,10,4,9,11,16,11,8,16,17,9,8,12,9,13,13,14,14,14,8
Gene_314,4,12,16,14,15,3,8,8,15,12,11,13,11,9,11,14,8,11,14,13,8,11,10,7,6,11,10,7,7,13,10,5,5,7,10,20,10,8,7,10,12,8,7,5,11,13,11,13,11,13
Gene_315,8,8,8,14,8,22,10,11,18,8,15,8,5,6,10,9,10,13,11,10,14,8,14,5,8,12,11,5,6,6,8,5,11,10,15,11,5,7,10,17,12,7,15,13,13,12,10,8,11,13
Gene_316,14,5,15,8,9,10,8,21,5,8,4,8,7,6,6,9,9,15,10,12,7,8,7,9,7,8,14,9,11,8,12,8,11,9,19,10,9,7,16,9,10,7,15,8,7,14,10,10,9,13
Gene_317,6,19,6,11,13,7,9,9,14,6,8,5,9,10,7,5,12,8,10,6,14,14,6,12,7,8,10,13,7,8,12,6,10,10,12,13,9,7,5,6,17,7,19,10,9,5,6,14,6,14
Gene_318,6,7,9,6,14,6,15,14,8,4,12,11,14,5,15,13,10,9,15,5,8,8,7,11,15,7,9,20,11,9,4,11,6,10,8,6,10,10,16,10,5,9,11,9,9,16,6,14,12,11
Gene_319,6,6,8,12,12,12,12,10,12,10,9,9,13,11,7,13,10,6,11,6,7,8,3,13,15,9,8,12,13,6,13,10,12,7,13,13,11,12,11,10,6,10,8,7,7,13,7,10,8,8
Gene_320,3,7,10,18,6,5,6,13,11,11,15,11,10,12,8,10,10,8,2,14,11,15,8,6,12,5,7,11,9,6,13,5,9,14,8,15,8,10,11,13,14,7,14,6,8,16,11,13,7,9
Gene_321,9,14,7,9,8,8,11,11,12,11,14,6,8,6,11,7,11,7,10,10,7,15,10,6,11,4,9,9,10,5,8,6,8,11,12,8,2,14,12,14,11,16,12,5,7,16,9,13,11,9
Gene_322,10,12,6,12,8,8,8,7,7,8,11,11,11,9,8,7,14,10,17,10,8,14,12,6,8,11,11,8,13,14,12,13,7,14,6,4,7,10,14,10,9,14,6,12,10,9,13,9,9,13
Gene_323,10,7,5,6,17,10,10,5,9,7,10,10,9,5,10,7,6,11,8,10,10,8,9,8,10,11,10,7,10,23,9,11,11,9,6,7,5,7,7,5,11,6,8,7,10,5,8,13,8,11
Gene_324,6,19,12,11,18,6,7,5,12,16,8,3,12,19,9,9,9,3,4,16,10,5,9,12,11,7,8,10,17,8,3,8,4,3,12,7,12,9,11,9,7,15,5,10,11,12,15,7,5,5
Gene_325,10,3,9,9,11,10,6,9,6,12,7,9,12,11,13,8,12,9,7,10,7,23,6,9,6,10,9,12,14,12,9,12,7,8,11,20,13,8,11,16,11,7,6,15,13,9,15,8,13,13
Gene_326,10,11,9,7,8,13,5,4,8,8,4,9,15,8,4,10,6,15,5,14,18,10,12,13,9,11,7,13,8,8,10,8,13,6,7,11,14,17,9,2,12,10,20,9,6,12,16,12,10,12
Gene_327,11,8,10,12,7,8,10,8,10,10,15,9,11,18,8,7,4,9,9,11,7,10,14,10,11,11,9,8,4,10,12,13,6,11,8,10,15,6,16,10,15,13,7,9,8,3,5,7,8,4
Gene_328,8,9,9,9,12,12,12,7,9,12,13,12,14,8,14,6,7,11,8,13,13,7,10,11,11,14,10,14,8,15,9,11,6,7,18,10,9,14,14,10,8,9,9,9,8,13,11,8,5,10
Gene_329,12,7,12,6,12,7,14,7,11,6,9,0,16,11,11,6,10,10,10,7,5,11,7,9,14,5,10,10,8,13,10,9,11,8,7,13,5,10,8,7,12,5,9,15,13,12,8,10,8,9
Gene_330,7,8,15,10,9,7,12,9,13,6,11,9,8,10,10,10,9,15,16,6,21,11,11,5,6,13,6,6,10,10,18,10,22,15,12,12,9,11,8,10,10,14,9,14,5,12,19,6,9,11
Gene_331,11,17,6,9,10,7,9,10,9,10,8,14,13,7,4,19,4,11,16,13,6,10,7,11,10,14,10,9,13,14,4,7,13,8,11,10,10,5,9,8,16,12,8,11,7,10,12,18,15,9
Gene_332,7,10,16,8,11,13,12,10,19,15,10,7,7,11,11,8,13,13,12,9,9,13,7,15,10,9,8,6,10,14,5,12,11,8,5,8,12,8,12,18,13,8,14,9,9,8,8,13,14,5
Gene_333,10,4,15,9,6,10,16,5,8,10,15,11,7,18,13,9,13,8,15,13,16,10,11,14,13,5,5,7,12,11,10,10,9,5,14,8,14,17,10,11,7,9,12,12,8,12,2,18,8,7
Gene_334,4,12,10,10,10,10,18,7,8,11,10,8,8,11,10,11,6,12,17,16,13,14,10,8,10,5,9,9,10,10,9,10,9,8,12,17,13,5,11,7,7,5,5,10,13,10,11,7,15,9
Gene_335,9,11,11,12,10,13,10,8,10,9,17,11,12,15,10,7,13,17,8,11,12,10,15,12,6,12,11,8,9,10,10,8,12,4,9,6,12,16,11,6,9,9,9,13,12,10,9,6,9,11
Gene_336,9,11,9,10,18,14,7,4,10,8,13,12,8,4,10,9,7,4,15,8,9,9,8,12,7,11,11,9,10,9,9,7,7,13,12,11,11,16,11,6,11,9,11,11,10,11,9,6,10,8
Gene_337,7,15,13,11,10,9,9,8,8,7,12,11,8,13,17,17,7,8,7,6,15,14,16,5,13,10,9,12,15,14,13,8,4,18,9,12,19,13,8,12,10,15,9,8,4,14,6,13,10,8
Gene_338,10,11,10,9,12,14,9,4,14,16,12,6,8,9,16,9,15,7,15,13,11,12,15,11,14,9,2,14,11,8,12,10,10,11,7,14,11,10,7,3,7,13,10,4,10,8,10,6,12,9
Gene_339,12,9,12,16,11,10,6,11,12,12,13,10,14,15,12,15,8,10,6,9,12,9,9,9,12,7,8,12,13,6,8,9,11,4,10,13,8,9,7,11,5,9,5,8,3,7,9,8,9,7
Gene_340,4,17,10,11,6,11,12,19,6,12,13,8,12,8,14,11,10,7,15,11,11,9,14,11,6,10,6,9,16,10,7,12,4,10,9,5,7,15,13,4,11,14,8,7,9,12,6,9,16,13
Gene_341,13,10,4,9,8,8,14,6,11,12,10,15,14,5,16,5,14,3,11,7,6,9,5,6,18,8,14,9,12,9,12,14,10,7,7,3,8,8,12,13,13,7,9,10,11,7,13,13,4,14
Gene_342,4,8,5,7,1,5,9,13,7,11,9,13,5,6,9,9,5,4,6,10,6,12,17,12,10,6,7,18,9,5,10,7,8,7,10,6,9,11,3,7,8,5,17,12,6,16,13,4,6,12
Gene_343,10,11,7,11,8,14,5,14,11,8,5,10,5,10,16,16,7,8,9,2,8,15,11,8,14,12,16,17,13,10,10,8,12,12,9,13,4,18,15,6,4,11,12,13,12,13,10,11,10,17
Gene_344,14,15,10,10,12,16,6,14,6,14,7,8,7,16,10,9,4,11,8,14,10,10,12,11,8,16,8,9,12,7,11,13,5,17,8,8,12,12,13,13,11,12,7,8,9,10,13,11,10,3
Gene_345,10,6,11,7,10,8,10,8,10,15,9,10,16,6,14,10,17,15,10,9,9,7,18,15,12,11,12,11,17,12,5,14,9,9,7,13,8,8,10,17,14,12,7,6,4,15,9,10,14,18
Gene_346,11,9,12,5,8,11,14,13,10,3,6,8,11,7,12,14,10,7,9,9,6,13,10,12,10,14,9,8,8,7,9,12,7,5,15,10,10,10,8,9,12,13,6,9,9,14,8,9,16,7
Gene_347,9,11,4,6,13,13,11,13,10,8,11,6,7,8,17,8,11,11,13,7,12,10,9,11,13,6,10,10,13,15,15,9,16,10,7,13,11,10,6,9,3,4,11,7,10,9,12,5,10,12
Gene_348,12,8,9,10,6,16,9,9,11,9,13,11,4,7,9,11,15,9,11,10,10,9,13,13,13,7,10,12,9,11,10,14,7,4,8,7,8,11,11,6,12,9,10,12,12,18,10,10,16,9
Gene_349,12,10,2,11,9,9,4,8,4,14,4,8,6,12,9,6,10,10,6,10,12,9,9,8,11,8,11,8,9,3,10,18,11,10,9,11,8,8,11,7,13,9,8,10,9,11,13,8,9,7
Gene_350,8,9,7,14,11,14,8,7,13,4,9,10,11,10,8,9,9,3,5,15,14,12,4,17,12,11,5,12,7,9,10,12,7,9,9,12,11,11,5,7,11,6,8,10,12,6,20,9,11,13
Gene_351,7,5,6,6,10,14,7,15,5,12,7,10,5,4,14,12,8,14,10,9,9,11,13,12,12,10,10,12,13,6,12,10,12,8,9,10,4,2,11,7,12,12,14,9,10,11,8,9,8,4
Gene_352,12,10,10,13,6,9,14,3,15,14,12,5,5,7,6,8,7,6,14,10,11,11,4,13,9,7,8,8,6,5,11,13,11,9,11,9,15,10,7,6,15,11,1,5,10,11,12,17,8,6
Gene_353,7,10,6,9,7,8,11,5,7,8,5,8,12,11,9,17,16,9,10,12,7,11,10,9,6,10,8,7,12,13,11,11,5,11,7,12,17,10,9,7,9,10,10,12,16,15,13,9,7,9
Gene_354,10,14,13,9,17,9,4,11,9,6,13,8,15,6,5,7,8,11,7,12,6,12,4,9,13,11,8,16,12,13,8,7,9,5,10,10,11,6,14,10,4,10,15,11,7,8,11,8,13,15
Gene_355,13,5,8,10,12,10,9,19,15,11,9,10,14,7,19,10,8,13,7,9,13,9,8,4,6,11,20,11,8,10,8,5,5,11,11,15,10,7,8,7,10,9,6,13,11,10,12,9,10,9
Gene_356,11,6,14,9,13,7,6,3,12,15,13,16,10,8,8,5,9,9,8,13,7,14,15,10,6,11,12,17,16,10,9,14,8,13,14,9,13,6,9,16,10,18,11,9,7,9,3,8,9,9
Gene_357,7,13,13,15,12,8,9,5,23,15,6,14,9,10,6,11,5,4,11,10,13,17,7,13,11,8,11,7,9,8,12,7,13,11,11,14,8,12,13,8,17,9,7,8,14,5,12,10,9,19
Gene_358,15,10,11,13,4,9,9,4,7,7,16,10,9,10,13,9,13,9,8,5,11,12,9,6,7,14,10,11,2,13,10,4,5,8,11,8,16,9,14,13,9,13,13,18,8,9,3,5,9,13
Gene_359,11,13,9,7,6,14,6,8,12,4,7,6,10,13,6,10,6,6,4,14,11,12,10,10,6,18,14,9,18,6,4,8,11,7,8,17,13,8,8,13,6,13,8,8,14,8,8,10,15,12
Gene_360,11,8,14,12,12,14,12,6,8,6,14,10,11,13,12,12,12,14,12,11,8,9,12,9,8,9,11,9,10,9,11,6,10,8,7,8,11,5,12,7,7,14,16,15,16,17,7,13,14,10
Gene_361,9,4,5,15,7,8,10,10,11,6,4,9,2,16,12,14,8,13,9,6,6,12,8,13,12,8,14,8,6,11,12,12,12,11,10,9,13,8,10,7,12,16,11,11,11,15,14,13,10,12
Gene_362,8,8,10,6,11,9,5,11,9,7,9,12,13,11,13,9,13,7,9,8,8,16,9,15,10,12,16,14,11,10,9,4,7,9,9,12,10,11,11,12,5,6,6,6,6,11,9,8,10,3
Gene_363,10,10,11,9,16,12,11,12,14,13,9,9,13,12,9,10,12,8,12,6,13,10,10,9,12,7,12,11,4,7,9,11,10,9,16,15,11,19,11,12,8,10,17,12,7,17,15,11,13,7
Gene_364,13,7,15,7,10,9,9,12,10,17,14,11,7,9,11,9,13,11,12,7,13,9,20,9,10,15,10,7,15,8,8,22,10,12,17,9,9,8,11,11,8,7,9,11,8,4,4,5,10,15
Gene_365,9,16,14,15,4,3,9,8,14,11,7,8,7,10,5,7,9,11,6,12,10,4,13,15,9,13,14,14,9,9,5,17,10,10,7,11,14,12,16,15,8,11,11,16,8,14,18,14,10,14
Gene_366,11,16,9,6,11,7,6,15,11,5,9,12,17,10,14,12,8,7,9,10,10,13,10,10,7,9,9,5,12,13,10,13,12,9,13,11,10,12,11,13,10,15,10,7,6,10,7,9,12,8
Gene_367,9,6,9,7,10,7,9,10,9,13,6,8,11,9,7,6,10,14,12,10,9,10,6,10,10,15,15,17,8,12,14,12,11,12,11,9,11,11,11,9,12,16,6,11,9,8,7,13,11,9
Gene_368,10,9,8,14,8,14,8,8,12,17,19,15,9,12,8,7,11,8,10,3,7,14,13,8,11,10,8,11,9,8,16,10,12,11,19,8,6,12,1,11,8,15,13,5,19,4,6,11,9,9
Gene_369,8,8,10,10,4,7,9,8,9,7,8,14,10,10,8,10,11,7,3,9,5,7,11,6,9,8,12,8,10,9,10,12,5,12,14,8,11,9,5,6,9,4,7,8,11,13,8,8,14,9
Gene_370,9,10,18,10,11,15,16,12,10,15,10,10,7,10,10,11,5,12,11,10,9,8,4,9,11,16,14,13,13,6,12,8,5,9,10,6,5,10,12,3,13,8,10,8,20,6,8,11,7,12
Gene_371,5,5,6,9,9,9,11,13,11,6,10,11,5,10,17,9,7,8,9,13,8,9,10,9,10,7,9,6,13,9,9,11,13,11,12,9,17,8,8,7,14,8,9,8,11,10,8,6,7,10
Gene_372,11,10,8,14,14,11,10,7,14,3,9,10,8,4,11,13,7,5,14,10,7,13,5,9,10,10,5,11,7,11,15,7,9,16,11,11,11,8,9,10,8,5,10,13,8,6,6,8,6,3
Gene_373,14,8,19,8,7,7,10,10,18,10,11,10,4,7,11,6,16,16,7,11,9,10,10,2,13,4,4,17,10,9,14,10,9,7,8,10,6,3,12,13,13,10,5,9,8,13,6,11,7,9
Gene_374,10,11,8,12,9,10,16,6,7,8,11,9,11,12,11,11,11,11,12,15,6,5,16,10,12,10,9,12,6,10,7,10,13,12,10,6,6,3,9,9,13,12,6,11,19,8,6,6,14,6
Gene_375,13,8,10,7,11,8,14,7,11,11,8,11,13,13,12,15,8,10,6,7,15,11,9,18,12,5,10,9,10,9,9,12,7,7,13,11,8,11,17,7,8,6,7,7,13,7,10,14,15,13
Gene_376,5,9,10,6,7,4,15,6,14,12,11,5,7,12,8,10,14,10,8,17,9,5,5,10,9,11,11,9,10,12,8,8,14,8,13,16,13,8,9,8,11,10,11,13,6,9,9,8,11,7
Gene_377,8,16,13,16,15,6,11,9,10,14,5,9,9,6,6,14,11,8,12,17,12,9,10,12,4,6,7,10,10,14,12,18,8,11,5,20,8,9,9,8,8,9,9,9,11,15,10,9,11,7
Gene_378,8,7,15,16,3,10,10,9,12,11,11,8,12,13,11,8,11,12,13,6,9,11,10,6,8,16,8,4,7,4,3,4,6,10,6,12,10,17,10,9,11,8,9,11,7,10,9,10,9,10
Gene_379,6,7,7,16,13,13,10,6,7,14,13,5,14,12,7,6,11,12,10,10,14,5,17,9,9,10,7,12,11,6,6,7,6,13,8,10,11,10,7,10,12,11,8,9,10,15,13,8,6,8
Gene_380,7,11,4,10,8,13,12,13,12,14,14,17,7,14,9,11,9,10,11,8,11,11,9,8,9,5,9,5,11,9,12,8,13,12,8,11,12,10,14,9,8,8,13,10,7,14,7,6,15,13
Gene_381,17,12,13,8,9,8,12,10,9,8,9,17,18,9,13,10,6,14,13,7,5,5,11,6,7,11,9,6,10,9,10,8,16,6,16,8,4,9,12,10,7,11,7,5,15,9,9,12,8,6
Gene_382,9,12,9,6,3,10,6,9,12,3,15,12,6,9,10,12,8,14,11,5,5,12,13,11,10,9,7,10,12,11,9,3,11,3,11,11,15,13,13,8,6,14,14,10,11,17,7,10,10,12
Gene_383,5,9,5,16,7,8,9,6,7,8,7,10,9,8,9,12,16,10,8,9,4,16,21,9,6,9,11,9,5,10,11,10,9,10,11,10,14,11,9,9,13,12,13,11,6,9,12,8,9,12
